program,#alrams,bugs,init-our,iters-our,init-dyb,iters-dyb,init-baseline,iters-baseline
bc,535,2,121,47,121,48,327,113
cflow,805,1,172,21,173,21,356,105
grep,912,1,143,63,144,66,714,378
gzip,344,8,234.75,235,230,235,229.5,326
libtasn1,357,1,5,14,5,14,113,6
patch,502,1,58,14,58,14,227,33
readelf,882,1,299,87,300,88,111,37
sed,819,1,314,70,316,70,469,196
sort,715,1,460,105,461,106,479,174
tar,1369,1,250,88,253,91,602,220
optipng,67,1,3,4,3,4,2,2
latex2rtf,13,2,6.5,5,6.5,5,5.5,4
shntool,23,6,15.3,21,15.3,21,15.2,21